Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,77,1,3,0,0,0,19,4,1,0.3333333333333333
1,76,1,4,0,0,0,19,5,1,0.25
2,74,3,4,0,0,0,19,7,2,0.5
3,67,8,5,0,0,1,19,14,7,1.1666666666666667
4,64,3,7,3,0,4,19,14,3,0.2727272727272727
5,60,4,8,3,0,6,19,18,4,0.2857142857142857
6,59,6,8,4,0,7,16,21,4,0.26666666666666666
7,59,3,12,4,0,7,15,22,1,0.05263157894736842
8,58,2,13,6,0,6,15,21,1,0.05263157894736842
9,50,10,8,14,0,4,14,22,9,0.75
10,39,17,9,17,0,5,13,31,12,0.8571428571428571
11,36,10,14,19,0,8,13,32,3,0.13636363636363635
12,36,2,15,23,0,11,13,28,0,0.0
13,34,4,13,25,0,13,11,30,4,0.15384615384615385
14,33,2,15,26,0,13,11,30,1,0.03571428571428571
15,33,0,15,31,0,10,11,25,0,0.0
16,31,2,9,40,1,6,11,17,2,0.13333333333333333
17,31,0,5,48,1,4,11,9,0,0.0
18,31,0,5,50,1,2,11,7,0,0.0
19,28,3,3,53,1,1,11,7,3,0.75
20,27,3,2,55,1,1,11,6,1,0.3333333333333333
21,27,1,4,55,1,1,11,6,0,0.0
22,27,0,4,57,1,0,11,4,0,0.0
23,24,3,4,57,1,0,11,7,3,0.75
24,19,6,5,57,1,1,11,12,5,0.8333333333333334
25,19,4,5,58,1,2,11,11,0,0.0
26,16,3,6,60,1,3,11,12,3,0.3333333333333333
27,14,4,6,61,1,3,11,13,2,0.2222222222222222
28,14,2,9,61,1,3,10,14,1,0.08333333333333333
29,11,3,8,63,1,4,10,15,3,0.25
30,9,4,8,65,1,3,10,15,2,0.18181818181818182
31,9,2,7,69,1,2,10,11,0,0.0
32,9,0,8,70,1,2,10,10,0,0.0
33,9,0,5,73,1,2,10,7,0,0.0
34,9,0,5,75,1,0,10,5,0,0.0
35,9,0,4,76,1,0,10,4,0,0.0
36,9,0,2,78,1,0,10,2,0,0.0
37,9,0,0,80,1,0,10,0,0,0.0
