experiment_id,timestamp,scenario_name,output_dir,log_file,population,initial_infected,total_infections,peak_active_cases,attack_rate,case_fatality_rate,average_rt,secondary_infections,total_household_infections,total_community_infections,total_home_infections,total_school_infections,total_work_infections,total_other_infections,total_quarantined_agents,total_mask_protected_contacts,household_infection_share,community_infection_share,home_infection_share,school_infection_share,work_infection_share,other_infection_share,household_share_sum,location_share_sum,detection_rate,quarantine_rate,undetected_infections,undetected_rate,asymptomatic_rate_observed,child_vaccination_coverage,adult_vaccination_coverage,senior_vaccination_coverage,child_attack_rate,adult_attack_rate,senior_attack_rate,child_death_rate,adult_death_rate,senior_death_rate,total_vaccinations,vaccination_coverage,breakthrough_infection_rate,vaccinated_infection_rate,unvaccinated_infection_rate,observed_vaccine_effectiveness,lockdown_duration,school_closure_duration,mask_compliance_duration,testing_rate_duration,quarantine_compliance_duration,work_closure_duration,senior_mobility_reduction_duration,child_mobility_reduction_duration,vaccination_campaign_duration,batch_id,scenario_index,scenario_run,random_seed,scenario_description
1,2026-06-21_19-04-48,Baseline seasonal flu,outputs/experiment_001_2026-06-21_19-04-48,outputs/experiment_001_2026-06-21_19-04-48/logs/simulation.log,5000,18,1056,125,0.2112,0.001893939393939394,0.016235599945103242,1038,88,950,321,696,21,0,1661,166223,0.08477842003853564,0.9152215799614644,0.3092485549132948,0.6705202312138728,0.02023121387283237,0.0,1.0,0.9999999999999999,0.11174242424242424,0.07954545454545454,938,0.8882575757575758,0.28882575757575757,0.16195121951219513,0.36728599867286,0.37460978147762747,0.7385365853658536,0.06536164565361646,0.08740894901144641,0.0,0.00033178500331785003,0.001040582726326743,1921,0.3842,0.14992191566892243,0.14992191566892243,0.24943163364728807,0.39894586153045286,0,191,0,0,0,0,0,191,0,batch_2026-06-21_19-04-48,1,1,42,Reference baseline scenario with default interventions.
2,2026-06-21_19-07-43,Baseline seasonal flu,outputs/experiment_002_2026-06-21_19-07-43,outputs/experiment_002_2026-06-21_19-07-43/logs/simulation.log,5000,18,1085,118,0.217,0.003686635944700461,0.016062472798613225,1067,87,980,320,722,25,0,1559,177000,0.08153701968134958,0.9184629803186504,0.29990627928772257,0.676663542642924,0.023430178069353328,0.0,1.0,1.0,0.10506912442396313,0.07188940092165899,971,0.8949308755760369,0.29400921658986173,0.14103819784524976,0.3496340652029275,0.3278520041109969,0.7463271302644466,0.06919494344644045,0.09969167523124357,0.0,0.0,0.0041109969167523125,1831,0.3662,0.17312943746586565,0.17312943746586565,0.2423477437677501,0.28561564149827057,0,195,0,0,0,0,0,195,0,batch_2026-06-21_19-04-48,1,2,43,Reference baseline scenario with default interventions.
3,2026-06-21_19-10-58,Baseline seasonal flu,outputs/experiment_003_2026-06-21_19-10-58,outputs/experiment_003_2026-06-21_19-10-58/logs/simulation.log,5000,18,995,124,0.199,0.004020100502512563,0.014404954040843899,977,67,910,301,655,21,0,1722,170861,0.06857727737973388,0.9314227226202662,0.30808597748208805,0.6704196519959058,0.021494370522006142,0.0,1.0,1.0,0.10552763819095477,0.08040201005025126,890,0.8944723618090452,0.3035175879396985,0.15943491422805248,0.3548280423280423,0.366497461928934,0.7114026236125126,0.05919312169312169,0.09441624365482233,0.0,0.0,0.0040609137055837565,1869,0.3738,0.14820759764579988,0.14820759764579988,0.2293197061641648,0.35370753728551607,0,209,0,0,0,0,0,209,0,batch_2026-06-21_19-04-48,1,3,44,Reference baseline scenario with default interventions.
4,2026-06-21_19-14-19,Baseline seasonal flu,outputs/experiment_004_2026-06-21_19-14-19,outputs/experiment_004_2026-06-21_19-14-19/logs/simulation.log,5000,18,910,120,0.182,0.004395604395604396,0.015719556595302706,892,78,814,283,591,18,0,1528,143534,0.08744394618834081,0.9125560538116592,0.3172645739910314,0.6625560538116592,0.020179372197309416,0.0,1.0,1.0,0.11208791208791209,0.07912087912087912,808,0.8879120879120879,0.3120879120879121,0.21272365805168986,0.3557404326123128,0.34782608695652173,0.621272365805169,0.060232945091514146,0.08695652173913043,0.0,0.00033277870216306157,0.003033367037411527,1858,0.3716,0.12432723358449946,0.12432723358449946,0.21610439210693824,0.4246890015868965,0,211,0,0,0,0,0,211,0,batch_2026-06-21_19-04-48,1,4,45,Reference baseline scenario with default interventions.
5,2026-06-21_19-17-39,Baseline seasonal flu,outputs/experiment_005_2026-06-21_19-17-39,outputs/experiment_005_2026-06-21_19-17-39/logs/simulation.log,5000,18,759,113,0.1518,0.003952569169960474,0.012877515824371901,741,54,687,229,484,28,0,1251,113321,0.0728744939271255,0.9271255060728745,0.3090418353576248,0.6531713900134952,0.037786774628879895,0.0,1.0,0.9999999999999999,0.0922266139657444,0.07378129117259552,689,0.9077733860342556,0.2648221343873518,0.23286290322580644,0.3646629026901362,0.3650952858575727,0.5191532258064516,0.05479907007638658,0.06118355065195587,0.0,0.0,0.003009027081243731,1905,0.381,0.11128608923884514,0.11128608923884514,0.1767366720516963,0.37032825193011754,0,229,0,0,0,0,0,229,0,batch_2026-06-21_19-04-48,1,5,46,Reference baseline scenario with default interventions.
6,2026-06-21_19-20-28,Baseline seasonal flu,outputs/experiment_006_2026-06-21_19-20-28,outputs/experiment_006_2026-06-21_19-20-28/logs/simulation.log,5000,18,738,120,0.1476,0.006775067750677507,0.014358427989790647,720,49,671,212,485,23,0,1111,121634,0.06805555555555555,0.9319444444444445,0.29444444444444445,0.6736111111111112,0.03194444444444444,0.0,1.0,1.0,0.0975609756097561,0.07181571815718157,666,0.9024390243902439,0.2981029810298103,0.2243460764587525,0.3679028552674762,0.36496350364963503,0.5171026156941649,0.04824417459796521,0.061522419186652764,0.0,0.0,0.005213764337851929,1901,0.3802,0.10889005786428195,0.10889005786428195,0.1713455953533398,0.3645003967581737,0,297,0,0,0,0,0,297,0,batch_2026-06-21_19-04-48,1,6,47,Reference baseline scenario with default interventions.
7,2026-06-21_19-23-22,Baseline seasonal flu,outputs/experiment_007_2026-06-21_19-23-22,outputs/experiment_007_2026-06-21_19-23-22/logs/simulation.log,5000,18,582,119,0.1164,0.001718213058419244,0.013454457048244517,564,49,515,198,349,17,0,847,85192,0.08687943262411348,0.9131205673758865,0.35106382978723405,0.6187943262411347,0.030141843971631204,0.0,1.0,1.0,0.09621993127147767,0.07388316151202749,526,0.9037800687285223,0.3024054982817869,0.2733812949640288,0.3739101274312542,0.32248803827751193,0.39157245632065774,0.039570757880617036,0.06220095693779904,0.0,0.00033534540576794097,0.0,1854,0.3708,0.07335490830636461,0.07335490830636461,0.1417673235855054,0.4825682925295447,0,246,0,0,0,0,0,246,0,batch_2026-06-21_19-04-48,1,7,48,Reference baseline scenario with default interventions.
8,2026-06-21_19-27-57,No interventions,outputs/experiment_008_2026-06-21_19-27-57,outputs/experiment_008_2026-06-21_19-27-57/logs/simulation.log,5000,18,1351,910,0.2702,0.005921539600296077,0.013727896065070454,1333,87,1246,286,1019,28,0,0,0,0.06526631657914479,0.9347336834208552,0.2145536384096024,0.7644411102775694,0.021005251312828207,0.0,1.0,1.0,0.0,0.0,1351,1.0,0.29829755736491487,0.002926829268292683,0.3619774386197744,0.37148803329864727,0.9912195121951219,0.07232913072329131,0.10301768990634755,0.0,0.0,0.008324661810613945,1921,0.3842,0.24466423737636647,0.24466423737636647,0.28613186099382915,0.14492487300586554,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,1,1,42,"No masks, no quarantine, no testing, and no adaptive restrictions."
9,2026-06-21_19-28-40,No interventions,outputs/experiment_009_2026-06-21_19-28-40,outputs/experiment_009_2026-06-21_19-28-40/logs/simulation.log,5000,18,1381,442,0.2762,0.002896451846488052,0.011547879293281216,1363,95,1268,313,1005,45,0,0,0,0.06969919295671313,0.9303008070432869,0.22964049889948643,0.7373440939104916,0.03301540719002201,0.0,1.0,1.0,0.0,0.0,1381,1.0,0.3106444605358436,0.004897159647404506,0.35429141716566864,0.32990750256937307,0.9911851126346719,0.07984031936127745,0.11408016443987667,0.0009794319294809011,0.00033266799733865603,0.0020554984583761563,1831,0.3662,0.24030584380120154,0.24030584380120154,0.2969390975071,0.1907234654558898,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,1,2,43,"No masks, no quarantine, no testing, and no adaptive restrictions."
10,2026-06-21_19-29-38,No interventions,outputs/experiment_010_2026-06-21_19-29-38,outputs/experiment_010_2026-06-21_19-29-38/logs/simulation.log,5000,18,1283,731,0.2566,0.002338269680436477,0.014018994503020132,1265,64,1201,244,983,38,0,0,0,0.05059288537549407,0.9494071146245059,0.19288537549407114,0.7770750988142292,0.030039525691699605,0.0,1.0,1.0,0.0,0.0,1283,1.0,0.3133281371784879,0.006054490413723511,0.3531746031746032,0.3766497461928934,0.9899091826437941,0.06580687830687831,0.08629441624365482,0.0,0.0,0.003045685279187817,1869,0.3738,0.2268592830390583,0.2268592830390583,0.27435324177579046,0.17311243865507375,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,1,3,44,"No masks, no quarantine, no testing, and no adaptive restrictions."
