Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections
0,75,3,3,0,0,0,19,6,3,1.0,1,2,3,0,0,0
1,72,5,4,0,0,0,19,9,3,0.75,0,3,2,0,1,0
2,61,11,8,0,0,1,19,20,11,1.2222222222222223,0,11,1,10,0,0
3,58,9,12,0,0,2,19,23,3,0.21428571428571427,0,3,1,0,2,0
4,54,6,14,3,0,4,19,24,4,0.2222222222222222,0,4,4,0,0,0
5,49,12,15,3,0,5,16,32,8,0.4,0,8,6,2,0,0
6,46,7,21,4,0,7,15,35,4,0.14285714285714285,0,4,3,0,1,0
7,43,5,20,9,0,8,15,33,3,0.10714285714285714,0,3,3,0,0,0
8,42,3,17,14,0,9,15,29,1,0.038461538461538464,0,1,0,0,1,0
9,26,19,14,21,0,7,13,40,18,0.8571428571428571,14,4,18,0,0,0
10,13,30,15,23,0,6,13,51,13,0.6190476190476191,10,3,13,0,0,0
11,11,8,26,32,0,11,12,45,3,0.08108108108108109,1,2,3,0,0,0
12,9,5,28,37,0,10,11,43,3,0.07894736842105263,3,0,3,0,0,0
13,8,6,28,40,0,10,8,44,4,0.10526315789473684,3,1,4,0,0,0
14,8,1,29,42,0,12,8,42,0,0.0,0,0,0,0,0,0
15,7,2,28,44,0,12,7,42,2,0.05,2,0,2,0,0,0
16,7,0,12,69,0,5,7,17,0,0.0,0,0,0,0,0,0
17,7,0,7,75,0,4,7,11,0,0.0,0,0,0,0,0,0
18,7,0,6,78,0,2,7,8,0,0.0,0,0,0,0,0,0
19,6,1,3,83,0,0,7,4,1,0.3333333333333333,0,1,0,0,1,0
20,5,2,2,84,0,0,7,4,1,0.5,0,1,0,1,0,0
21,5,0,1,86,0,1,7,2,0,0.0,0,0,0,0,0,0
22,5,0,1,86,0,1,7,2,0,0.0,0,0,0,0,0,0
23,5,0,1,86,0,1,7,2,0,0.0,0,0,0,0,0,0
24,5,0,1,86,0,1,7,2,0,0.0,0,0,0,0,0,0
25,5,0,1,86,0,1,7,2,0,0.0,0,0,0,0,0,0
26,5,0,0,88,0,0,7,0,0,0.0,0,0,0,0,0,0
