Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt
0,76,2,3,0,0,0,19,5,2,0.6666666666666666
1,75,1,5,0,0,0,19,6,1,0.2
2,73,2,5,0,0,1,19,8,2,0.3333333333333333
3,73,1,6,0,0,1,19,8,0,0.0
4,68,5,3,3,0,2,19,10,5,1.0
5,67,3,5,3,0,3,19,11,1,0.125
6,64,4,5,5,0,3,19,12,3,0.375
7,59,7,7,6,0,2,19,16,5,0.5555555555555556
8,57,2,12,7,0,3,19,17,2,0.13333333333333333
9,54,4,12,8,0,3,19,19,3,0.2
10,45,11,11,11,0,3,19,25,9,0.6428571428571429
11,43,7,14,13,0,4,19,25,2,0.1111111111111111
12,40,5,17,15,0,5,18,27,4,0.18181818181818182
13,39,4,13,21,1,4,18,21,1,0.058823529411764705
14,36,3,17,22,1,3,18,23,3,0.15
15,36,1,18,24,1,2,18,21,0,0.0
16,36,0,13,30,1,2,18,15,0,0.0
17,35,1,8,36,1,1,18,10,1,0.1111111111111111
18,34,2,6,38,1,1,18,9,1,0.14285714285714285
19,33,1,3,42,1,2,18,6,1,0.2
20,33,2,1,44,1,2,17,5,1,0.3333333333333333
21,32,2,1,45,1,2,17,5,1,0.3333333333333333
22,32,0,3,45,1,2,17,5,0,0.0
23,32,0,3,45,1,2,17,5,0,0.0
24,32,0,2,47,1,1,17,3,0,0.0
25,32,0,2,47,1,1,17,3,0,0.0
26,32,0,2,48,1,0,17,2,0,0.0
27,30,2,0,50,1,0,17,2,2,2.0
28,30,1,0,50,1,1,17,2,0,0.0
29,30,0,0,50,1,2,17,2,0,0.0
30,28,2,0,50,1,2,17,4,2,1.0
31,27,1,2,50,1,2,17,5,1,0.25
32,26,2,2,50,1,2,17,6,1,0.25
33,26,0,4,51,1,1,17,5,0,0.0
34,26,0,4,52,1,0,17,4,0,0.0
35,26,0,4,52,1,0,17,4,0,0.0
36,26,0,2,54,1,0,17,2,0,0.0
37,26,0,2,54,1,0,17,2,0,0.0
38,26,0,0,56,1,0,17,0,0,0.0
