agent_id,state,age_group,x,y
13,Recovered,child,15,15
87,Recovered,child,15,15
73,Recovered,adult,7,2
20,Recovered,adult,10,17
90,Recovered,child,15,15
86,Recovered,child,5,5
4,Vaccinated,adult,7,12
27,Recovered,senior,16,19
5,Susceptible,senior,18,16
10,Recovered,senior,4,6
98,Susceptible,adult,6,12
94,Recovered,child,5,5
80,Recovered,adult,15,12
78,Recovered,child,5,5
53,Recovered,adult,16,10
64,Recovered,adult,19,2
71,Recovered,adult,19,15
15,Recovered,adult,14,13
24,Recovered,child,5,5
96,Recovered,child,15,15
28,Susceptible,adult,4,0
48,Recovered,adult,15,18
79,Recovered,adult,10,12
49,Vaccinated,senior,8,5
43,Recovered,adult,17,17
0,Recovered,adult,18,3
9,Recovered,adult,3,5
60,Recovered,adult,12,12
84,Recovered,adult,7,3
41,Recovered,child,15,15
63,Susceptible,adult,10,9
93,Vaccinated,adult,1,16
2,Recovered,adult,10,2
22,Recovered,child,5,5
77,Recovered,adult,16,9
31,Recovered,senior,12,0
1,Recovered,adult,4,5
72,Susceptible,adult,4,19
12,Recovered,child,15,15
44,Vaccinated,adult,7,18
42,Recovered,child,5,5
62,Recovered,child,5,5
99,Recovered,adult,1,8
37,Recovered,adult,0,15
55,Recovered,adult,11,16
18,Recovered,adult,14,8
88,Recovered,child,5,5
58,Recovered,adult,7,10
39,Recovered,adult,9,5
36,Recovered,adult,13,11
68,Susceptible,adult,3,3
70,Vaccinated,adult,13,9
50,Susceptible,senior,6,8
76,Recovered,adult,19,8
19,Recovered,adult,17,3
52,Recovered,child,5,5
33,Recovered,child,5,5
14,Susceptible,adult,13,6
65,Susceptible,adult,1,17
11,Recovered,child,15,15
32,Recovered,child,5,5
21,Recovered,adult,3,19
23,Recovered,adult,1,19
40,Recovered,adult,10,13
75,Recovered,adult,16,11
85,Recovered,senior,0,12
67,Susceptible,adult,3,8
3,Recovered,adult,2,7
47,Vaccinated,adult,13,5
25,Susceptible,adult,1,4
61,Vaccinated,adult,5,4
66,Recovered,adult,0,11
17,Recovered,child,15,15
26,Recovered,child,15,15
29,Vaccinated,adult,9,17
59,Vaccinated,child,5,5
38,Recovered,child,5,5
46,Recovered,child,15,15
8,Recovered,adult,5,0
74,Recovered,adult,13,19
34,Recovered,senior,16,4
81,Recovered,adult,4,15
30,Vaccinated,senior,8,2
6,Recovered,adult,17,17
82,Recovered,child,15,15
7,Recovered,adult,16,0
83,Recovered,child,15,15
57,Recovered,adult,11,9
89,Recovered,adult,17,13
16,Recovered,child,15,15
45,Susceptible,adult,13,6
54,Recovered,adult,15,15
56,Recovered,child,5,5
35,Recovered,senior,18,14
51,Recovered,adult,16,0
97,Vaccinated,child,5,5
95,Recovered,adult,5,1
92,Vaccinated,adult,3,13
91,Vaccinated,adult,3,18
69,Recovered,adult,17,18
