agent_id,state,age_group,x,y,home_x,home_y,work_x,work_y
0,Infected,adult,16,11,16,11,18,3
1,Infected,adult,15,17,15,17,4,5
2,Infected,adult,2,14,2,14,10,2
3,Susceptible,adult,15,16,15,16,2,7
4,Vaccinated,adult,18,15,18,15,7,12
5,Susceptible,senior,5,11,5,11,18,16
6,Susceptible,adult,6,3,6,3,17,17
7,Susceptible,adult,7,12,7,12,16,0
8,Susceptible,adult,17,5,17,5,5,0
9,Susceptible,adult,10,4,10,4,3,5
10,Vaccinated,senior,9,0,9,0,4,6
11,Susceptible,child,11,19,11,19,15,15
12,Vaccinated,child,1,8,1,8,15,15
13,Susceptible,child,15,10,15,10,15,15
14,Susceptible,adult,19,5,19,5,13,6
15,Vaccinated,adult,10,5,10,5,14,13
16,Vaccinated,child,6,17,6,17,15,15
17,Susceptible,child,3,12,3,12,15,15
18,Susceptible,adult,10,12,10,12,14,8
19,Susceptible,adult,4,11,4,11,17,3
20,Susceptible,adult,15,9,15,9,10,17
21,Susceptible,adult,11,12,11,12,3,19
22,Vaccinated,child,0,12,0,12,5,5
23,Susceptible,adult,1,19,1,19,17,17
24,Susceptible,child,18,9,18,9,5,5
25,Susceptible,adult,11,17,11,17,1,4
26,Vaccinated,child,13,18,13,18,15,15
27,Susceptible,senior,14,15,14,15,16,19
28,Susceptible,adult,6,15,6,15,4,0
29,Vaccinated,adult,4,3,4,3,9,17
30,Vaccinated,senior,9,8,9,8,8,2
31,Susceptible,senior,14,0,14,0,12,0
32,Susceptible,child,9,7,9,7,5,5
33,Susceptible,child,0,14,0,14,5,5
34,Susceptible,senior,18,1,18,1,16,4
35,Susceptible,senior,14,8,14,8,18,14
36,Susceptible,adult,1,14,1,14,13,11
37,Susceptible,adult,1,13,1,13,0,15
38,Susceptible,child,9,16,9,16,5,5
39,Susceptible,adult,16,13,16,13,9,5
40,Susceptible,adult,19,15,19,15,10,13
41,Susceptible,child,1,7,1,7,15,15
42,Susceptible,child,14,15,14,15,5,5
43,Susceptible,adult,10,15,10,15,17,17
44,Vaccinated,adult,19,1,19,1,7,18
45,Susceptible,adult,3,9,3,9,13,6
46,Susceptible,child,1,2,1,2,15,15
47,Vaccinated,adult,11,15,11,15,13,5
48,Susceptible,adult,0,13,0,13,15,18
49,Vaccinated,senior,5,12,5,12,8,5
50,Susceptible,senior,7,15,7,15,6,8
51,Susceptible,adult,19,19,19,19,16,0
52,Susceptible,child,13,15,13,15,5,5
53,Susceptible,adult,1,14,1,14,16,10
54,Susceptible,adult,19,14,19,14,15,15
55,Susceptible,adult,7,12,7,12,11,16
56,Susceptible,child,2,2,2,2,5,5
57,Susceptible,adult,1,18,1,18,11,9
58,Susceptible,adult,0,18,0,18,7,10
59,Vaccinated,child,15,17,15,17,5,5
60,Susceptible,adult,17,6,17,6,12,12
61,Vaccinated,adult,8,19,8,19,5,4
62,Susceptible,child,19,17,19,17,5,5
63,Susceptible,adult,3,10,3,10,10,9
64,Susceptible,adult,13,2,13,2,19,2
65,Susceptible,adult,3,10,3,10,1,17
66,Susceptible,adult,6,5,6,5,0,11
67,Susceptible,adult,9,18,9,18,3,8
68,Susceptible,adult,4,10,4,10,3,3
69,Susceptible,adult,8,6,8,6,17,18
70,Vaccinated,adult,11,5,11,5,13,9
71,Susceptible,adult,12,19,12,19,19,15
72,Susceptible,adult,17,15,17,15,4,19
73,Susceptible,adult,12,12,12,12,7,2
74,Susceptible,adult,3,15,3,15,13,19
75,Susceptible,adult,3,10,3,10,16,11
76,Susceptible,adult,5,4,5,4,19,8
77,Susceptible,adult,18,12,18,12,16,9
78,Susceptible,child,11,12,11,12,5,5
79,Susceptible,adult,11,5,11,5,10,12
80,Susceptible,adult,13,1,13,1,15,12
81,Susceptible,adult,10,12,10,12,4,15
82,Susceptible,child,11,7,11,7,15,15
83,Susceptible,child,19,9,19,9,15,15
84,Susceptible,adult,4,16,4,16,7,3
85,Susceptible,senior,14,6,14,6,0,12
86,Susceptible,child,14,18,14,18,5,5
87,Susceptible,child,12,0,12,0,15,15
88,Susceptible,child,13,2,13,2,5,5
89,Susceptible,adult,16,6,16,6,17,13
90,Susceptible,child,10,4,10,4,15,15
91,Vaccinated,adult,3,3,3,3,3,18
92,Vaccinated,adult,2,0,2,0,3,13
93,Vaccinated,adult,19,6,19,6,1,16
94,Susceptible,child,2,13,2,13,5,5
95,Susceptible,adult,2,7,2,7,5,1
96,Susceptible,child,15,11,15,11,15,15
97,Vaccinated,child,13,19,13,19,5,5
98,Susceptible,adult,6,8,6,8,6,12
99,Susceptible,adult,17,7,17,7,1,8
