agent_id,state,age_group,x,y,household_id
28,Recovered,adult,14,1,H_7
70,Recovered,child,15,15,H_17
24,Recovered,adult,4,1,H_6
43,Recovered,senior,3,16,H_10
72,Recovered,senior,5,13,H_18
19,Recovered,adult,2,14,H_4
5,Recovered,adult,0,1,H_1
32,Susceptible,adult,13,17,H_8
80,Recovered,child,15,15,H_20
27,Recovered,adult,15,0,H_6
11,Recovered,adult,17,9,H_2
74,Recovered,child,15,15,H_18
52,Recovered,adult,17,9,H_13
63,Recovered,adult,13,15,H_15
18,Recovered,adult,16,19,H_4
20,Recovered,adult,8,17,H_5
38,Susceptible,senior,5,1,H_9
1,Recovered,child,15,15,H_0
76,Recovered,child,15,15,H_19
47,Recovered,senior,15,3,H_11
78,Recovered,adult,3,0,H_19
14,Recovered,adult,11,19,H_3
79,Recovered,child,15,15,H_19
69,Recovered,adult,19,5,H_17
77,Recovered,adult,15,2,H_19
95,Recovered,adult,10,5,H_23
59,Recovered,adult,17,7,H_14
84,Recovered,adult,16,6,H_21
89,Recovered,adult,16,10,H_22
99,Recovered,adult,16,5,H_24
71,Recovered,child,5,5,H_17
66,Recovered,adult,3,7,H_16
86,Recovered,adult,17,9,H_21
82,Recovered,senior,13,19,H_20
35,Susceptible,adult,5,17,H_8
51,Susceptible,adult,9,7,H_12
10,Recovered,child,15,15,H_2
49,Vaccinated,adult,2,16,H_12
0,Recovered,adult,2,0,H_0
54,Recovered,child,5,5,H_13
55,Recovered,adult,16,12,H_13
83,Recovered,child,5,5,H_20
91,Recovered,adult,15,1,H_22
65,Recovered,senior,1,3,H_16
88,Recovered,adult,19,11,H_22
57,Recovered,adult,14,11,H_14
75,Recovered,child,15,15,H_18
12,Recovered,adult,12,9,H_3
16,Vaccinated,adult,13,2,H_4
29,Recovered,adult,9,10,H_7
21,Recovered,adult,16,19,H_5
7,Recovered,adult,19,4,H_1
60,Recovered,adult,1,11,H_15
15,Recovered,adult,1,18,H_3
30,Recovered,child,15,15,H_7
34,Susceptible,adult,10,5,H_8
87,Recovered,adult,14,3,H_21
31,Recovered,adult,8,8,H_7
23,Recovered,adult,6,1,H_5
46,Recovered,adult,13,0,H_11
36,Recovered,senior,6,4,H_9
8,Recovered,adult,3,18,H_2
26,Recovered,child,5,5,H_6
9,Recovered,senior,14,10,H_2
56,Recovered,adult,7,14,H_14
97,Vaccinated,adult,19,16,H_24
42,Recovered,adult,10,14,H_10
90,Recovered,adult,13,15,H_22
67,Recovered,adult,14,9,H_16
40,Recovered,child,5,5,H_10
93,Recovered,adult,13,18,H_23
17,Recovered,child,5,5,H_4
44,Vaccinated,child,5,5,H_11
2,Recovered,child,15,15,H_0
73,Recovered,adult,8,9,H_18
50,Susceptible,senior,13,3,H_12
3,Recovered,child,15,15,H_0
94,Recovered,adult,9,5,H_23
13,Recovered,senior,13,8,H_3
48,Susceptible,adult,9,10,H_12
33,Susceptible,senior,17,1,H_8
98,Recovered,adult,9,8,H_24
37,Susceptible,adult,15,17,H_9
45,Recovered,adult,14,1,H_11
85,Recovered,adult,4,7,H_21
81,Recovered,child,15,15,H_20
25,Recovered,adult,9,8,H_6
62,Recovered,adult,1,4,H_15
58,Recovered,child,5,5,H_14
61,Recovered,adult,2,2,H_15
68,Recovered,adult,19,14,H_17
4,Dead,senior,14,11,H_1
96,Recovered,adult,11,5,H_24
53,Recovered,child,5,5,H_13
41,Recovered,adult,10,7,H_10
64,Recovered,child,15,15,H_16
39,Susceptible,adult,5,0,H_9
22,Vaccinated,adult,3,8,H_5
6,Recovered,adult,19,0,H_1
92,Recovered,adult,11,7,H_23
