Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections
0,73,5,3,0,0,0,19,8,5,1.6666666666666667,1
1,72,2,6,0,0,1,19,9,1,0.14285714285714285,0
2,68,4,8,0,0,1,19,13,4,0.4444444444444444,1
3,64,7,9,0,0,1,19,17,4,0.4,0
4,64,4,6,3,0,4,19,14,0,0.0,0
5,62,2,8,3,0,6,19,16,2,0.14285714285714285,0
6,60,3,6,7,0,5,19,14,2,0.18181818181818182,0
7,57,6,5,8,1,5,18,16,4,0.4,0
8,56,6,4,9,1,7,17,17,2,0.18181818181818182,0
9,47,9,7,12,1,7,17,23,9,0.6428571428571429,5
10,30,27,6,16,1,5,15,38,19,1.7272727272727273,14
11,21,18,16,17,1,12,15,46,9,0.32142857142857145,4
12,16,13,23,18,1,14,15,50,5,0.13513513513513514,3
13,15,4,31,20,1,16,13,51,3,0.06382978723404255,1
14,14,3,30,26,1,13,13,46,1,0.023255813953488372,1
15,13,3,31,27,1,14,11,48,3,0.06666666666666667,3
16,13,0,21,45,1,9,11,30,0,0.0,0
17,13,0,13,55,1,7,11,20,0,0.0,0
18,13,0,5,67,1,3,11,8,0,0.0,0
19,12,1,3,69,1,3,11,7,1,0.16666666666666666,0
20,10,3,1,72,1,2,11,6,2,0.6666666666666666,0
21,9,1,3,75,1,0,11,4,1,0.3333333333333333,0
22,8,2,3,75,1,0,11,5,1,0.3333333333333333,0
23,7,3,4,75,1,0,10,7,2,0.5,1
24,7,2,5,75,1,0,10,7,0,0.0,0
25,7,0,6,75,1,1,10,7,0,0.0,0
26,7,0,3,78,1,1,10,4,0,0.0,0
27,7,0,3,78,1,1,10,4,0,0.0,0
28,7,0,2,79,1,1,10,3,0,0.0,0
29,6,1,1,80,1,1,10,3,1,0.5,1
30,6,1,0,82,1,0,10,1,0,0.0,0
31,6,0,0,82,1,1,10,1,0,0.0,0
32,6,0,0,82,1,1,10,1,0,0.0,0
33,6,0,0,82,1,1,10,1,0,0.0,0
34,6,0,0,82,1,1,10,1,0,0.0,0
35,6,0,0,82,1,1,10,1,0,0.0,0
36,6,0,0,83,1,0,10,0,0,0.0,0
