agent_id,state,age_group,x,y,household_id,home_x,home_y,work_x,work_y
0,Infected,adult,14,6,H_0,14,6,19,15
1,Infected,child,14,6,H_0,14,6,5,5
2,Infected,senior,14,6,H_0,14,6,11,2
3,Susceptible,adult,14,6,H_0,14,6,9,8
4,Vaccinated,child,5,16,H_1,5,16,5,5
5,Susceptible,child,5,16,H_1,5,16,5,5
6,Susceptible,senior,5,16,H_1,5,16,5,17
7,Susceptible,adult,5,16,H_1,5,16,18,11
8,Susceptible,adult,12,18,H_2,12,18,9,16
9,Susceptible,adult,12,18,H_2,12,18,12,3
10,Vaccinated,adult,12,18,H_2,12,18,2,3
11,Susceptible,adult,12,18,H_2,12,18,7,2
12,Vaccinated,child,10,17,H_3,10,17,5,5
13,Susceptible,child,10,17,H_3,10,17,15,15
14,Susceptible,adult,10,17,H_3,10,17,13,7
15,Vaccinated,child,10,17,H_3,10,17,5,5
16,Vaccinated,adult,15,8,H_4,15,8,19,5
17,Susceptible,adult,15,8,H_4,15,8,7,12
18,Susceptible,adult,15,8,H_4,15,8,17,12
19,Susceptible,adult,15,8,H_4,15,8,18,4
20,Susceptible,senior,8,15,H_5,8,15,12,9
21,Susceptible,adult,8,15,H_5,8,15,14,2
22,Vaccinated,child,8,15,H_5,8,15,15,15
23,Susceptible,child,8,15,H_5,8,15,15,15
24,Susceptible,adult,1,13,H_6,1,13,1,8
25,Susceptible,adult,1,13,H_6,1,13,4,2
26,Vaccinated,adult,1,13,H_6,1,13,14,8
27,Susceptible,adult,1,13,H_6,1,13,9,5
28,Susceptible,child,19,14,H_7,19,14,5,5
29,Vaccinated,child,19,14,H_7,19,14,15,15
30,Vaccinated,adult,19,14,H_7,19,14,15,6
31,Susceptible,adult,19,14,H_7,19,14,15,18
32,Susceptible,senior,12,5,H_8,12,5,3,19
33,Susceptible,adult,12,5,H_8,12,5,7,9
34,Susceptible,adult,12,5,H_8,12,5,10,5
35,Susceptible,adult,12,5,H_8,12,5,5,19
36,Susceptible,adult,13,12,H_9,13,12,17,5
37,Susceptible,adult,13,12,H_9,13,12,15,9
38,Susceptible,adult,13,12,H_9,13,12,8,12
39,Susceptible,adult,13,12,H_9,13,12,0,19
40,Susceptible,adult,11,7,H_10,11,7,4,15
41,Susceptible,adult,11,7,H_10,11,7,16,17
42,Susceptible,adult,11,7,H_10,11,7,16,2
43,Susceptible,adult,11,7,H_10,11,7,1,11
44,Vaccinated,adult,12,14,H_11,12,14,3,16
45,Susceptible,adult,12,14,H_11,12,14,1,19
46,Susceptible,adult,12,14,H_11,12,14,15,5
47,Vaccinated,adult,12,14,H_11,12,14,15,5
48,Susceptible,adult,2,3,H_12,2,3,2,5
49,Vaccinated,adult,2,3,H_12,2,3,13,19
50,Susceptible,adult,2,3,H_12,2,3,6,18
51,Susceptible,adult,2,3,H_12,2,3,4,10
52,Susceptible,child,15,11,H_13,15,11,5,5
53,Susceptible,adult,15,11,H_13,15,11,5,14
54,Susceptible,senior,15,11,H_13,15,11,14,0
55,Susceptible,child,15,11,H_13,15,11,5,5
56,Susceptible,adult,9,10,H_14,9,10,3,14
57,Susceptible,adult,9,10,H_14,9,10,19,13
58,Susceptible,senior,9,10,H_14,9,10,15,15
59,Vaccinated,senior,9,10,H_14,9,10,5,12
60,Susceptible,adult,17,19,H_15,17,19,1,0
61,Vaccinated,adult,17,19,H_15,17,19,10,15
62,Susceptible,adult,17,19,H_15,17,19,13,5
63,Susceptible,adult,17,19,H_15,17,19,5,6
64,Susceptible,child,16,6,H_16,16,6,15,15
65,Susceptible,child,16,6,H_16,16,6,5,5
66,Susceptible,child,16,6,H_16,16,6,5,5
67,Susceptible,adult,16,6,H_16,16,6,8,10
68,Susceptible,adult,11,17,H_17,11,17,14,19
69,Susceptible,adult,11,17,H_17,11,17,8,11
70,Vaccinated,adult,11,17,H_17,11,17,16,7
71,Susceptible,adult,11,17,H_17,11,17,2,18
72,Susceptible,adult,11,6,H_18,11,6,10,3
73,Susceptible,child,11,6,H_18,11,6,15,15
74,Susceptible,adult,11,6,H_18,11,6,0,8
75,Susceptible,child,11,6,H_18,11,6,5,5
76,Susceptible,child,3,0,H_19,3,0,5,5
77,Susceptible,child,3,0,H_19,3,0,15,15
78,Susceptible,adult,3,0,H_19,3,0,8,3
79,Susceptible,adult,3,0,H_19,3,0,11,15
80,Susceptible,adult,3,19,H_20,3,19,17,13
81,Susceptible,child,3,19,H_20,3,19,5,5
82,Susceptible,child,3,19,H_20,3,19,15,15
83,Susceptible,senior,3,19,H_20,3,19,9,10
84,Susceptible,child,11,5,H_21,11,5,15,15
85,Susceptible,senior,11,5,H_21,11,5,18,1
86,Susceptible,senior,11,5,H_21,11,5,19,11
87,Susceptible,child,11,5,H_21,11,5,5,5
88,Susceptible,adult,1,13,H_22,1,13,9,16
89,Susceptible,adult,1,13,H_22,1,13,9,17
90,Susceptible,adult,1,13,H_22,1,13,5,18
91,Vaccinated,senior,1,13,H_22,1,13,10,7
92,Vaccinated,adult,9,7,H_23,9,7,11,11
93,Vaccinated,adult,9,7,H_23,9,7,19,17
94,Susceptible,adult,9,7,H_23,9,7,1,13
95,Susceptible,senior,9,7,H_23,9,7,3,4
96,Susceptible,child,1,18,H_24,1,18,15,15
97,Vaccinated,adult,1,18,H_24,1,18,2,17
98,Susceptible,senior,1,18,H_24,1,18,9,15
99,Susceptible,adult,1,18,H_24,1,18,18,15
