Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections
0,71,7,3,0,0,0,19,10,7,2.3333333333333335,1,6
1,67,5,7,0,0,2,19,14,4,0.4444444444444444,0,4
2,60,8,10,0,0,3,19,21,7,0.5384615384615384,1,6
3,41,22,14,0,0,5,18,41,20,1.0526315789473684,0,20
4,39,16,17,3,0,8,17,41,3,0.12,0,3
5,36,7,25,3,0,13,16,45,4,0.10526315789473684,0,4
6,33,5,26,9,0,11,16,42,3,0.08108108108108109,0,3
7,31,5,27,13,0,10,14,42,4,0.10810810810810811,1,3
8,29,6,24,19,0,9,13,39,3,0.09090909090909091,0,3
9,8,22,19,28,0,11,12,52,22,0.7333333333333333,13,9
10,2,28,13,41,0,6,10,47,8,0.42105263157894735,5,3
11,2,2,26,46,0,14,10,42,0,0.0,0,0
12,1,1,23,50,0,15,10,39,1,0.02631578947368421,1,0
13,1,1,22,52,0,14,10,37,0,0.0,0,0
14,1,0,22,58,0,9,10,31,0,0.0,0,0
15,1,0,20,60,0,9,10,29,0,0.0,0,0
16,1,0,2,86,0,1,10,3,0,0.0,0,0
17,1,0,1,88,0,0,10,1,0,0.0,0,0
18,1,0,1,88,0,0,10,1,0,0.0,0,0
19,1,0,0,89,0,0,10,0,0,0.0,0,0
