agent_id,state,age_group,x,y,household_id,current_location_type
2867,Recovered,child,65,65,H_955,school
3716,Vaccinated,adult,36,78,H_1238,work
2831,Recovered,child,65,65,H_943,school
2055,Recovered,child,10,10,H_685,school
960,Susceptible,senior,0,41,H_320,work
3990,Susceptible,adult,50,54,H_1330,work
1453,Vaccinated,adult,32,7,H_484,work
4971,Vaccinated,senior,86,24,H_1657,work
3605,Susceptible,senior,36,4,H_1201,work
4148,Susceptible,adult,32,55,H_1382,work
1072,Vaccinated,adult,28,74,H_357,work
4793,Vaccinated,adult,13,6,H_1597,work
4383,Vaccinated,senior,34,36,H_1461,work
1071,Susceptible,adult,87,24,H_357,work
759,Susceptible,adult,9,50,H_253,work
4952,Susceptible,adult,53,81,H_1650,work
2758,Susceptible,senior,24,81,H_919,home
223,Vaccinated,adult,40,17,H_74,work
405,Susceptible,adult,0,52,H_135,work
2506,Susceptible,adult,51,64,H_835,work
2104,Recovered,senior,37,27,H_701,work
3543,Recovered,child,10,10,H_1181,school
2523,Vaccinated,senior,48,88,H_841,work
2673,Vaccinated,adult,44,67,H_891,work
3322,Vaccinated,adult,11,86,H_1107,work
4949,Recovered,child,75,20,H_1649,school
443,Susceptible,senior,62,64,H_147,home
385,Vaccinated,adult,27,34,H_128,work
4810,Susceptible,senior,69,50,H_1603,home
816,Susceptible,adult,7,48,H_272,work
627,Recovered,child,65,65,H_209,school
1933,Recovered,child,25,25,H_644,school
533,Recovered,child,45,45,H_177,school
3892,Vaccinated,senior,18,34,H_1297,home
2275,Recovered,child,75,20,H_758,school
1828,Recovered,adult,23,86,H_609,work
534,Susceptible,adult,9,70,H_178,work
3013,Vaccinated,adult,62,42,H_1004,work
4553,Vaccinated,adult,82,53,H_1517,work
2441,Recovered,child,25,25,H_813,school
348,Vaccinated,adult,20,30,H_116,work
2731,Susceptible,adult,30,15,H_910,work
1238,Vaccinated,adult,57,74,H_412,work
2616,Vaccinated,adult,34,49,H_872,work
4411,Susceptible,adult,34,26,H_1470,work
1773,Susceptible,adult,44,11,H_591,work
2292,Recovered,adult,9,62,H_764,work
813,Recovered,child,25,25,H_271,school
2740,Vaccinated,senior,5,49,H_913,work
2678,Recovered,child,25,25,H_892,school
4247,Susceptible,adult,60,53,H_1415,work
2686,Vaccinated,adult,81,72,H_895,work
3715,Susceptible,adult,5,37,H_1238,work
4088,Recovered,child,25,25,H_1362,school
4711,Recovered,child,45,45,H_1570,school
4355,Recovered,child,25,25,H_1451,school
3350,Recovered,child,25,25,H_1116,school
2202,Vaccinated,adult,55,53,H_734,work
4676,Vaccinated,senior,53,35,H_1558,work
