agent_id,state,age_group,x,y,household_id,home_x,home_y,work_x,work_y,current_location_type
0,Infected,adult,12,6,H_0,12,6,6,15,home
1,Infected,child,12,6,H_0,12,6,15,15,home
2,Infected,senior,12,6,H_0,12,6,1,9,home
3,Susceptible,child,12,6,H_0,12,6,15,15,home
4,Vaccinated,adult,5,1,H_1,5,1,2,17,home
5,Susceptible,senior,5,1,H_1,5,1,11,19,home
6,Susceptible,child,5,1,H_1,5,1,15,15,home
7,Susceptible,adult,5,1,H_1,5,1,10,14,home
8,Susceptible,adult,11,16,H_2,11,16,18,1,home
9,Susceptible,child,11,16,H_2,11,16,15,15,home
10,Vaccinated,child,11,16,H_2,11,16,15,15,home
11,Susceptible,senior,11,16,H_2,11,16,19,5,home
12,Vaccinated,adult,8,2,H_3,8,2,13,17,home
13,Susceptible,adult,8,2,H_3,8,2,17,3,home
14,Susceptible,adult,8,2,H_3,8,2,2,13,home
15,Vaccinated,adult,8,2,H_3,8,2,16,13,home
16,Vaccinated,child,10,11,H_4,10,11,15,15,home
17,Susceptible,adult,10,11,H_4,10,11,1,10,home
18,Susceptible,child,10,11,H_4,10,11,15,15,home
19,Susceptible,senior,10,11,H_4,10,11,13,1,home
20,Susceptible,child,7,11,H_5,7,11,15,15,home
21,Susceptible,adult,7,11,H_5,7,11,0,1,home
22,Vaccinated,senior,7,11,H_5,7,11,1,11,home
23,Susceptible,adult,7,11,H_5,7,11,11,8,home
24,Susceptible,adult,18,17,H_6,18,17,16,9,home
25,Susceptible,adult,18,17,H_6,18,17,7,13,home
26,Vaccinated,child,18,17,H_6,18,17,15,15,home
27,Susceptible,adult,18,17,H_6,18,17,15,15,home
28,Susceptible,adult,14,14,H_7,14,14,3,13,home
29,Vaccinated,adult,14,14,H_7,14,14,6,13,home
30,Vaccinated,senior,14,14,H_7,14,14,10,11,home
31,Susceptible,adult,14,14,H_7,14,14,0,8,home
32,Susceptible,child,10,5,H_8,10,5,15,15,home
33,Susceptible,adult,10,5,H_8,10,5,13,5,home
34,Susceptible,adult,10,5,H_8,10,5,13,1,home
35,Susceptible,adult,10,5,H_8,10,5,4,4,home
36,Susceptible,senior,13,12,H_9,13,12,5,2,home
37,Susceptible,adult,13,12,H_9,13,12,2,19,home
38,Susceptible,adult,13,12,H_9,13,12,16,10,home
39,Susceptible,adult,13,12,H_9,13,12,9,14,home
40,Susceptible,child,0,17,H_10,0,17,15,15,home
41,Susceptible,adult,0,17,H_10,0,17,2,19,home
42,Susceptible,child,0,17,H_10,0,17,15,15,home
43,Susceptible,adult,0,17,H_10,0,17,2,11,home
44,Vaccinated,child,0,7,H_11,0,7,5,5,home
45,Susceptible,adult,0,7,H_11,0,7,19,8,home
46,Susceptible,adult,0,7,H_11,0,7,17,9,home
47,Vaccinated,adult,0,7,H_11,0,7,3,2,home
48,Susceptible,adult,10,17,H_12,10,17,14,1,home
49,Vaccinated,senior,10,17,H_12,10,17,12,3,home
50,Susceptible,child,10,17,H_12,10,17,15,15,home
51,Susceptible,adult,10,17,H_12,10,17,17,19,home
52,Susceptible,child,16,4,H_13,16,4,15,15,home
53,Susceptible,adult,16,4,H_13,16,4,12,1,home
54,Susceptible,adult,16,4,H_13,16,4,19,12,home
55,Susceptible,child,16,4,H_13,16,4,15,15,home
56,Susceptible,adult,6,6,H_14,6,6,15,1,home
57,Susceptible,adult,6,6,H_14,6,6,18,6,home
58,Susceptible,adult,6,6,H_14,6,6,7,9,home
59,Vaccinated,adult,6,6,H_14,6,6,1,10,home
60,Susceptible,adult,15,2,H_15,15,2,18,15,home
61,Vaccinated,child,15,2,H_15,15,2,5,5,home
62,Susceptible,senior,15,2,H_15,15,2,14,18,home
63,Susceptible,adult,15,2,H_15,15,2,18,16,home
64,Susceptible,adult,18,10,H_16,18,10,7,9,home
65,Susceptible,senior,18,10,H_16,18,10,0,14,home
66,Susceptible,child,18,10,H_16,18,10,15,15,home
67,Susceptible,senior,18,10,H_16,18,10,14,10,home
68,Susceptible,adult,17,7,H_17,17,7,5,0,home
69,Susceptible,adult,17,7,H_17,17,7,11,19,home
70,Vaccinated,child,17,7,H_17,17,7,5,5,home
71,Susceptible,child,17,7,H_17,17,7,5,5,home
72,Susceptible,adult,2,6,H_18,2,6,18,17,home
73,Susceptible,child,2,6,H_18,2,6,5,5,home
74,Susceptible,adult,2,6,H_18,2,6,11,16,home
75,Susceptible,adult,2,6,H_18,2,6,13,7,home
76,Susceptible,adult,17,1,H_19,17,1,19,12,home
77,Susceptible,adult,17,1,H_19,17,1,19,0,home
78,Susceptible,adult,17,1,H_19,17,1,6,5,home
79,Susceptible,adult,17,1,H_19,17,1,10,7,home
80,Susceptible,senior,14,9,H_20,14,9,2,13,home
81,Susceptible,adult,14,9,H_20,14,9,3,4,home
82,Susceptible,adult,14,9,H_20,14,9,18,1,home
83,Susceptible,senior,14,9,H_20,14,9,15,11,home
84,Susceptible,adult,19,5,H_21,19,5,3,7,home
85,Susceptible,adult,19,5,H_21,19,5,11,8,home
86,Susceptible,adult,19,5,H_21,19,5,19,9,home
87,Susceptible,adult,19,5,H_21,19,5,4,5,home
88,Susceptible,adult,15,9,H_22,15,9,12,18,home
89,Susceptible,adult,15,9,H_22,15,9,19,14,home
90,Susceptible,adult,15,9,H_22,15,9,13,9,home
91,Vaccinated,child,15,9,H_22,15,9,5,5,home
92,Vaccinated,child,13,12,H_23,13,12,15,15,home
93,Vaccinated,adult,13,12,H_23,13,12,1,16,home
94,Susceptible,child,13,12,H_23,13,12,15,15,home
95,Susceptible,adult,13,12,H_23,13,12,18,12,home
96,Susceptible,adult,15,15,H_24,15,15,3,3,home
97,Vaccinated,adult,15,15,H_24,15,15,15,5,home
98,Susceptible,senior,15,15,H_24,15,15,12,19,home
99,Susceptible,senior,15,15,H_24,15,15,12,5,home
