Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections
0,76,3,3,0,0,0,18,6,3,1.0,1,2,2,0,3
1,74,4,4,0,0,0,18,8,2,0.5,0,2,4,0,0
2,66,9,6,0,0,2,17,17,9,1.125,0,9,0,17,0
3,64,2,12,0,0,5,17,19,2,0.11764705882352941,0,2,1,0,3
4,59,6,9,3,0,6,17,21,5,0.3333333333333333,0,5,12,20,3
5,55,5,12,3,0,8,17,25,4,0.2,0,4,8,11,4
6,54,3,15,4,0,8,16,26,2,0.08695652173913043,0,2,6,12,5
7,51,5,16,8,0,6,14,27,5,0.22727272727272727,0,5,7,9,3
8,49,3,14,17,0,3,14,20,2,0.11764705882352941,0,2,7,6,0
9,37,13,17,18,0,2,13,32,13,0.6842105263157895,10,3,22,0,0
10,23,26,15,23,0,0,13,41,14,0.9333333333333333,8,6,31,0,0
11,20,13,21,27,0,6,13,40,3,0.1111111111111111,3,0,14,0,0
12,20,3,26,30,0,9,12,38,1,0.02857142857142857,0,1,22,0,0
13,20,2,23,34,0,10,11,35,1,0.030303030303030304,1,0,24,0,0
14,20,0,22,37,0,10,11,32,0,0.0,0,0,20,0,0
15,20,0,21,38,0,10,11,31,0,0.0,0,0,20,0,0
16,20,1,11,54,0,4,10,16,1,0.06666666666666667,0,1,18,0,0
17,20,2,3,65,0,1,9,6,1,0.25,1,0,5,0,0
18,20,0,4,66,1,0,9,4,0,0.0,0,0,2,0,0
19,20,0,2,68,1,0,9,2,0,0.0,0,0,2,0,0
20,20,0,2,68,1,0,9,2,0,0.0,0,0,0,0,0
21,20,0,2,68,1,0,9,2,0,0.0,0,0,0,0,0
22,20,0,2,68,1,0,9,2,0,0.0,0,0,0,0,0
23,20,0,0,70,1,0,9,0,0,0.0,0,0,0,0,0
