agent_id,state,age_group,x,y,household_id,current_location_type,home_x,home_y,work_x,work_y
4496,Vaccinated,adult,49,45,H_1498,work,49,77,49,45
198,Recovered,child,65,65,H_66,school,77,20,65,65
168,Recovered,child,75,20,H_56,school,66,84,75,20
1414,Susceptible,adult,53,39,H_471,work,18,77,53,39
1361,Susceptible,adult,88,68,H_453,work,63,15,88,68
2842,Vaccinated,adult,5,52,H_947,work,19,58,5,52
2319,Susceptible,senior,82,18,H_773,home,82,18,36,5
4034,Susceptible,adult,0,11,H_1344,work,42,26,0,11
4870,Vaccinated,child,10,10,H_1623,school,14,73,10,10
1799,Recovered,adult,76,19,H_599,work,84,7,76,19
3822,Vaccinated,adult,3,28,H_1274,work,19,22,3,28
496,Susceptible,senior,71,42,H_165,work,36,60,71,42
2542,Vaccinated,adult,38,83,H_847,work,35,85,38,83
1099,Susceptible,senior,51,15,H_366,home,51,15,82,60
4613,Susceptible,adult,58,5,H_1537,work,19,37,58,5
943,Vaccinated,adult,59,81,H_314,work,87,73,59,81
1826,Susceptible,adult,4,26,H_608,work,78,85,4,26
1221,Vaccinated,adult,30,20,H_407,work,8,44,30,20
3530,Vaccinated,adult,85,4,H_1176,work,50,24,85,4
3708,Recovered,child,10,10,H_1236,school,70,56,10,10
654,Susceptible,adult,64,9,H_218,work,13,10,64,9
2020,Susceptible,senior,58,27,H_673,work,18,87,58,27
1780,Susceptible,adult,29,81,H_593,work,78,22,29,81
455,Recovered,adult,42,52,H_151,work,24,50,42,52
2392,Susceptible,adult,49,52,H_797,work,14,3,49,52
1632,Recovered,child,75,20,H_544,school,81,20,75,20
2396,Recovered,child,10,10,H_798,school,2,44,10,10
2429,Susceptible,adult,79,82,H_809,work,63,8,79,82
203,Susceptible,adult,40,20,H_67,work,10,85,40,20
4849,Recovered,child,25,25,H_1616,school,56,85,25,25
375,Recovered,child,45,45,H_125,school,2,26,45,45
2919,Susceptible,adult,76,71,H_973,work,20,42,76,71
3592,Recovered,child,10,10,H_1197,school,62,34,10,10
2486,Vaccinated,senior,10,53,H_828,work,33,65,10,53
1751,Vaccinated,adult,56,78,H_583,work,50,87,56,78
