Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3113,0,18,0,0,0,1869,18,0,0.0,0,0,0,0,0,0,46,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
1,3113,0,18,0,0,0,1869,18,0,0.0,0,0,0,0,0,0,111,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
2,3112,1,18,0,0,0,1869,19,1,0.05555555555555555,0,1,0,1,0,0,144,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
3,3111,2,18,0,0,0,1869,20,1,0.05555555555555555,0,1,0,1,0,0,90,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
4,3109,4,18,0,0,0,1869,22,2,0.1111111111111111,0,2,0,2,0,0,143,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
5,3108,5,18,0,0,0,1869,23,1,0.05555555555555555,0,1,0,0,1,0,153,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
6,3107,6,18,0,0,0,1869,24,1,0.05555555555555555,0,1,0,1,0,0,173,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
7,3107,6,18,0,0,0,1869,24,0,0.0,0,0,0,0,0,0,123,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
8,3106,7,18,0,0,0,1869,25,1,0.05555555555555555,0,1,0,1,0,0,145,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
9,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
10,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
11,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
12,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
13,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
14,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
15,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
16,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
17,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
18,3106,7,18,0,0,0,1869,25,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
19,3105,8,18,0,0,0,1869,26,1,0.05555555555555555,0,1,0,1,0,0,46,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
20,3105,8,18,0,0,0,1869,26,0,0.0,0,0,0,0,0,0,153,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
21,3105,8,18,0,0,0,1869,26,0,0.0,0,0,0,0,0,0,84,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
22,3105,9,18,0,0,0,1868,27,1,0.05555555555555555,0,1,0,1,0,0,131,0,0,18,0,-1,0,0.15,0.05,0.1,0,0.65,1.0,0,0
