Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases
0,75,3,3,0,0,0,19,6
1,75,0,6,0,0,0,19,6
2,64,11,6,0,0,0,19,17
3,63,10,7,0,0,1,19,18
4,63,1,11,3,0,3,19,15
5,55,9,12,3,0,3,18,24
6,53,8,13,6,0,4,16,25
7,49,7,18,6,0,4,16,29
8,43,13,18,8,0,5,13,36
9,36,12,17,17,0,5,13,34
10,26,18,21,18,0,5,12,44
11,23,13,22,23,0,8,11,43
12,18,7,28,28,0,8,11,43
13,15,8,28,31,0,8,10,44
14,14,3,26,38,1,8,10,37
15,12,3,22,43,1,9,10,34
16,12,1,18,52,1,6,10,25
17,12,1,7,63,1,7,9,15
18,12,0,7,66,1,5,9,12
19,11,1,3,71,2,3,9,7
20,9,2,3,73,2,2,9,7
21,9,1,2,75,2,2,9,5
22,9,0,3,76,2,1,9,4
23,8,2,2,77,2,1,8,5
24,8,0,4,77,2,1,8,5
25,8,0,3,78,2,1,8,4
26,8,0,3,79,2,0,8,3
27,8,0,2,80,2,0,8,2
28,8,1,2,80,2,0,7,3
29,8,0,1,82,2,0,7,1
30,7,1,1,82,2,0,7,2
31,7,0,2,82,2,0,7,2
32,7,0,2,82,2,0,7,2
33,7,0,2,82,2,0,7,2
34,7,0,1,83,2,0,7,1
35,7,0,1,83,2,0,7,1
36,7,0,0,84,2,0,7,0
