Step,Susceptible,Exposed,Infected,Recovered,Dead
0,79,0,3,18,0
1,78,1,3,18,0
2,77,1,4,18,0
3,73,5,4,18,0
4,73,4,2,21,0
5,73,0,6,21,0
6,72,1,6,21,0
7,68,5,5,22,0
8,68,1,9,22,0
9,61,7,9,23,0
10,54,10,9,27,0
11,53,6,14,27,0
12,50,4,19,27,0
13,45,6,18,31,0
14,41,6,21,32,0
15,41,2,21,36,0
16,39,2,18,41,0
17,36,3,15,46,0
18,36,1,14,49,0
19,35,1,11,53,0
20,35,1,7,57,0
21,35,0,6,59,0
22,35,0,4,61,0
23,33,2,2,63,0
24,33,0,3,64,0
25,33,0,3,64,0
26,33,0,2,65,0
27,33,0,2,65,0
28,33,0,2,65,0
29,33,0,0,67,0
30,33,0,0,67,0
31,33,0,0,67,0
32,33,0,0,67,0
33,33,0,0,67,0
34,33,0,0,67,0
35,33,0,0,67,0
36,33,0,0,67,0
37,33,0,0,67,0
38,33,0,0,67,0
39,33,0,0,67,0
40,33,0,0,67,0
41,33,0,0,67,0
42,33,0,0,67,0
43,33,0,0,67,0
44,33,0,0,67,0
45,33,0,0,67,0
46,33,0,0,67,0
47,33,0,0,67,0
48,33,0,0,67,0
49,33,0,0,67,0
